,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/10,/amdcpu/0/load/11,/amdcpu/0/load/12,/amdcpu/0/load/13,/amdcpu/0/load/14,/amdcpu/0/load/15,/amdcpu/0/load/16,/amdcpu/0/load/17,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/2,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/3,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/4,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/5,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/6,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/clock/7,/amdcpu/0/factor/6,/amdcpu/0/power/7,/amdcpu/0/voltage/8,/amdcpu/0/clock/8,/amdcpu/0/factor/7,/amdcpu/0/power/8,/amdcpu/0/voltage/9,/amdcpu/0/temperature/2,/amdcpu/0/voltage/0,/amdcpu/0/voltage/1,/amdcpu/0/clock/0,/gpu-amd/0/factor/0,/gpu-amd/0/smalldata/5,/gpu-amd/0/smalldata/4,/gpu-amd/0/smalldata/3,/gpu-amd/0/smalldata/6,/gpu-amd/0/smalldata/7,/gpu-amd/0/smalldata/8,/gpu-amd/0/load/2,/gpu-amd/0/load/6,/gpu-amd/0/load/3,/gpu-amd/0/load/4,/gpu-amd/0/load/5,/gpu-amd/0/load/8,/gpu-amd/0/load/7,/gpu-amd/0/load/10,/gpu-amd/0/load/11,/gpu-amd/0/load/9,/gpu-amd/0/clock/0,/gpu-amd/0/clock/2,/gpu-amd/0/load/0,/gpu-nvidia/0/temperature/0,/gpu-nvidia/0/clock/0,/gpu-nvidia/0/clock/4,/gpu-nvidia/0/load/0,/gpu-nvidia/0/load/1,/gpu-nvidia/0/load/2,/gpu-nvidia/0/load/3,/gpu-nvidia/0/smalldata/3,/gpu-nvidia/0/smalldata/4,/gpu-nvidia/0/load/5,/gpu-nvidia/0/load/10,/gpu-nvidia/0/load/12,/gpu-nvidia/0/load/6,/gpu-nvidia/0/load/7,/gpu-nvidia/0/load/11,/gpu-nvidia/0/load/13,/gpu-nvidia/0/load/8,/gpu-nvidia/0/load/9,/gpu-nvidia/0/load/14,/gpu-nvidia/0/temperature/2,/gpu-nvidia/0/smalldata/2,/gpu-nvidia/0/smalldata/0,/gpu-nvidia/0/smalldata/1,/gpu-nvidia/0/load/3,/gpu-nvidia/0/power/0,/gpu-nvidia/0/throughput/0,/gpu-nvidia/0/throughput/1
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Core #15","CPU Core #16","CPU Total","CPU Core Max","Package","Core #1","Core #1","Core #1 (SMU)","Core #1 VID","Core #2","Core #2","Core #2 (SMU)","Core #2 VID","Core #3","Core #3","Core #3 (SMU)","Core #3 VID","Core #4","Core #4","Core #4 (SMU)","Core #4 VID","Core #5","Core #5","Core #5 (SMU)","Core #5 VID","Core #6","Core #6","Core #6 (SMU)","Core #6 VID","Core #7","Core #7","Core #7 (SMU)","Core #7 VID","Core #8","Core #8","Core #8 (SMU)","Core #8 VID","Core (Tctl/Tdie)","Core (SVI2 TFN)","SoC (SVI2 TFN)","Bus Speed","Fullscreen FPS","D3D Dedicated Memory Total","D3D Dedicated Memory Free","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D Shared Memory Free","D3D Shared Memory Total","D3D 3D","D3D High Priority Compute","D3D Compute 0","D3D Compute 1","D3D Copy","D3D Timer 0","D3D Security 1","D3D Video Decode 1","D3D Video Encode 0","D3D Video Codec 0","GPU Core","GPU Memory","GPU Core","GPU Core","GPU Core","GPU Memory","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Bus","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D 3D","D3D Overlay","D3D Video Decode","D3D Copy","D3D Copy","D3D Security","D3D Video Encode","D3D NVEnc_1","D3D OFA_0","D3D VR","GPU Hot Spot","GPU Memory Total","GPU Memory Free","GPU Memory Used","GPU Memory","GPU Package","GPU PCIe Rx","GPU PCIe Tx"
11/12/2025 16:06:36,7.896292,5.883688,17.96831,3.11357975,4.982817,5.76519966,5.699497,8.235389,7.37143755,5.401927,15.6781015,2.72061825,10.661232,1.77788138,6.30975962,4.060769,7.09540844,17.96831,8.048839,4366.78662,43.75,0.773782134,1.35,3493.42944,35,1.087951,1.05,3493.42944,35,0.5780065,1.0625,3493.42944,35,0.7090174,1.05,4366.78662,43.75,0.631311,1.3375,4366.78662,43.75,0.8683033,1.30625,4366.78662,43.75,0.6919177,1.325,3493.42944,35,0.516833365,1.0375,58.1250076,1.55,1.55,99.81227,-1,496.5625,127.390625,369.171875,56.6601563,15997.3691,16054.0293,0.3285341,0,0,0,0,0,0,0,0,0,400,1600,0,41,210,405,4,3,0,0,1296.94531,86.14453,1.09785974,0,0,0.0328723863,0.004780347,0,0,0,0,0,47.1875,8192,6730,1461,17.8406715,12.19,99328,849920
11/12/2025 16:06:37,14.458847,1.99092031,20.69366,8.69146,12.2360115,7.28734732,12.2264919,10.4366722,12.2384491,7.296908,15.3031883,2.17115879,11.1397686,1.53955817,11.1634016,4.41092873,9.580302,20.69366,9.677368,3373.654,33.8,1.04082429,1.03125,3373.654,33.8,1.80015719,1.01875,4217.06738,42.25,1.19968688,1.34375,3373.654,33.8,1.38944471,1.01875,4167.161,41.75,1.21254563,1.03125,4167.161,41.75,0.8854292,1.2875,4167.161,41.75,0.890404344,1.3,4167.161,41.75,0.9394664,1.28125,58.6250076,1.55,1.55,99.81225,-1,496.5625,127.390625,369.171875,56.6601563,15997.3691,16054.0293,0.3908368,0,0,0,0,0,0,0,0,0,400,1600,0,41,210,405,11,4,0,0,1304.82813,86.81641,3.2694962,0,0,0.22551012,0.0240452,0,0,0,0,0,46.9375,8192,6722,1469,17.9368019,12.315,1399808,1748992
11/12/2025 16:06:38,6.42606,0.9684205,9.79814,3.02662253,6.43608,0.82668066,6.550491,1.27356052,5.99564934,3.02677751,13.6676731,1.10576153,6.66208839,1.3579309,5.86323738,2.72086859,4.73163128,13.6676731,5.967578,2520.25977,25.25,0.451060027,0.85625,2520.25977,25.25,0.7383361,0.84375,2520.25977,25.25,0.4364965,0.85625,2520.25977,25.25,0.400328577,0.84375,2520.25977,25.25,0.477106869,0.85625,2520.25977,25.25,0.6980865,0.8375,2520.25977,25.25,0.49115482,0.85,2520.25977,25.25,0.405156434,0.8375,57.7500076,1.55,1.55,99.81227,-1,496.5625,127.390625,369.171875,56.6601563,15997.3691,16054.0293,0.366192728,0,0,0,0,0,0,0,0,0,400,1600,0,41,210,405,4,8,0,0,1304.82813,85.42578,2.0023787,0,0,0.0594500266,0.017911097,0,0,0,0,0,47.25,8192,6722,1469,17.9368019,12.639,99328,849920
11/12/2025 16:06:39,5.90167046,0.754469633,5.64224148,1.32976174,4.141867,0.4669726,5.23362732,1.35567784,3.13835144,0.84323287,9.691668,1.32451057,3.37076187,0.7584572,4.588729,2.18054056,3.17015052,9.691668,5.045886,2520.25952,25.25,0.391788274,0.85625,2520.25952,25.25,0.321783036,0.84375,2520.25952,25.25,0.239082858,0.85625,2520.25952,25.25,0.305853337,0.84375,2520.25952,25.25,0.16874674,0.85625,2520.25952,25.25,0.5351536,0.8375,2520.25952,25.25,0.316362381,0.85,2520.25952,25.25,0.305209219,0.83125,56.7500076,1.55,1.55,99.8122559,-1,496.5625,127.390625,369.171875,56.6601563,15997.3691,16054.0293,0.287567258,0,0,0,0,0,0,0,0,0,400,1600,0,41,210,405,4,3,0,0,1304.82813,86.42578,1.3539685,0,0,0.0148912612,0.006638273,0,0,0,0,0,47.25,8192,6722,1469,17.9368019,12.023,99328,899072
11/12/2025 16:06:40,5.267149,2.1990478,6.463808,0.9538591,4.22353172,0.8561194,5.25187254,2.002567,3.386408,0.9461582,10.6509209,4.21493053,5.2877903,0.5514324,3.83291841,1.46042109,3.59681249,10.6509209,5.37483454,3553.31665,35.6,0.4779517,1.08125,3553.31665,35.6,0.3667493,1.0625,3553.31665,35.6,0.289055943,1.075,3553.31665,35.6,0.288306534,1.0625,3553.31665,35.6,0.196919888,1.075,4441.64551,44.5,0.723374844,1.3375,3553.31665,35.6,0.406636536,1.06875,3553.31665,35.6,0.296281874,1.05,55.8750076,1.55,1.55,99.81226,-1,496.5625,127.390625,369.171875,56.6601563,15997.3691,16054.0293,0.8438125,0,0,0,0,0,0,0,0,0,400,1600,0,41,210,405,4,3,0,0,1303.82031,85.22266,1.0698787,0,0,0.03220648,0.006645147,0,0,0,0,0,46.84375,8192,6723,1468,17.9245949,12.051,99328,849920
11/12/2025 16:06:41,5.03538847,0,7.046479,2.26275921,4.65849,0,7.24300766,1.49322748,3.60295773,0,10.3130817,1.63242817,4.59907055,0,4.696828,1.91425085,3.21270227,10.3130817,5.33103657,3553.31641,35.6,0.370346248,1.08125,3553.31641,35.6,0.5042957,1.0625,3553.31641,35.6,0.315912783,1.075,3553.31641,35.6,0.391723275,1.0625,3553.31641,35.6,0.2515878,1.075,4441.64551,44.5,0.5785479,1.3375,3553.31641,35.6,0.385815948,1.06875,3553.31641,35.6,0.3259039,1.05,55.0000076,1.55,1.55,99.8122559,-1,496.5625,127.390625,369.171875,56.6601563,15997.3691,16054.0293,0.275688231,0,0,0,0,0,0,0,0,0,400,1600,0,41,210,405,4,3,0,0,1303.82031,86.30078,1.80670488,0,0,0.0485871732,0.008389512,0,0,0,0,0,47.03125,8192,6723,1468,17.9245949,12.139,3449856,349184
11/12/2025 16:06:42,11.5516777,3.971094,13.0377827,4.16914225,7.95413876,4.43899059,8.182848,2.6717484,4.4297514,4.44834232,13.943058,2.02652216,8.410758,2.45936513,5.25496,2.17672,6.19543171,13.943058,7.263941,3553.316,35.6,0.863128662,1.08125,3553.316,35.6,1.06151617,1.0625,3553.316,35.6,0.640509367,1.075,3553.316,35.6,0.6940537,1.0625,3513.391,35.2,0.451849371,1.075,4391.739,44,0.906970561,1.30625,3513.391,35.2,0.65806663,1.0625,4391.739,44,0.4572005,1.3,54.6250076,1.55,1.55,99.81225,-1,496.5625,127.390625,369.171875,56.6601563,15997.3691,16054.0293,0.6355303,0,0,0,0,0,0,0,0,0,400,1600,0,41,210,405,4,3,0,0,1303.32031,86.30078,1.08165026,0,0,0.0507601239,0.00702448143,0,0,0,0,0,47.1875,8192,6724,1467,17.9184914,12.135,4349952,149504
11/12/2025 16:06:43,6.05121851,1.58455968,9.263998,1.53272152,4.95764,1.331079,5.046582,1.33150816,4.02318239,1.51990056,12.7701521,2.458322,4.785198,0.9742081,4.9295187,3.07970047,4.102463,12.7701521,5.67954063,3553.31641,35.6,0.454455674,1.08125,3553.31641,35.6,0.557600737,1.0625,3553.31641,35.6,0.327890515,1.08125,3553.31641,35.6,0.29243046,1.0625,3553.31641,35.6,0.250897884,1.075,4441.64551,44.5,0.6891604,1.3375,3553.31641,35.6,0.3803933,1.06875,3553.31641,35.6,0.373610377,1.05,54.0000076,1.55,1.55,99.8122559,-1,496.5625,127.390625,369.171875,56.6601563,15997.3691,16054.0293,2.724666,0,0,0,0,0,0,0,0,0,400,1600,1,41,210,405,14,7,0,1,1296.94531,86.30078,2.897796,0,0,0.07838104,0.008128404,0,0,0,0,0,46.9375,8192,6730,1461,17.8406715,12.154,15949824,699392
11/12/2025 16:06:44,5.194092,1.12597942,7.29078054,2.03983188,3.23598981,0.5477786,3.95467877,3.20336223,2.6058197,0.9446919,10.3093328,1.06459856,3.81811261,1.06917024,5.177307,1.81041956,3.33699584,10.3093328,5.10932827,2520.25952,25.25,0.381059766,0.85625,2520.25952,25.25,0.46540007,0.84375,2520.25952,25.25,0.168879285,0.85625,2520.25952,25.25,0.332042128,0.84375,2520.25952,25.25,0.178019464,0.85625,4416.69238,44.25,0.51770395,1.31875,3533.35376,35.4,0.334318936,1.0625,4416.69238,44.25,0.262023062,1.3125,53.3750076,1.55,1.55,99.8122559,-1,496.5625,127.390625,369.171875,56.6601563,15997.3691,16054.0293,0.5779433,0,0,0,0,0,0,0,0,0,400,1600,1,41,210,405,4,3,0,0,1296.94531,86.30078,1.497804,0,0,0,0.009954113,0,0,0,0,0,47,8192,6730,1461,17.8406715,12.297,15049728,4099072
